GEO_UNIT,WEEK,GEO_LEVEL,CHANNEL,BRAND,SUB_BRAND,FEATURE,VALUE
FR,22-07-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,136110.78
FR,29-07-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,154876.02
FR,2019-05-08 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,165317.1
FR,2019-12-08 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,149745.18
FR,19-08-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,151018.92
FR,26-08-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,130441.74
FR,2019-02-09 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,109792.8
FR,2019-09-09 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,102527.1
FR,16-09-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,105558.96
FR,23-09-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,123427.2
FR,30-09-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,178592.7
FR,2019-07-10 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,123193.98
FR,14-10-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,103639.38
FR,21-10-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,107622.06
FR,28-10-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,118565.46
FR,2019-04-11 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,109595.46
FR,2019-11-11 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,105253.98
FR,18-11-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,107209.44
FR,25-11-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,102204.18
FR,2019-02-12 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,116950.86
FR,2019-09-12 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,112268.52
FR,16-12-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,118870.44
FR,23-12-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,128091.6
FR,31-12-2018,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,51850.0
FR,26-12-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,107590.0
FR,2020-06-01 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,108651.2454
FR,13-01-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,99262.9512
FR,20-01-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,109452.9024
FR,27-01-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,116739.0738
FR,2020-03-02 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,105462.432
FR,2020-10-02 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,121673.718
FR,17-02-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,115652.3832
FR,24-02-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,124114.3182
FR,2020-02-03 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,157142.5866
FR,2020-09-03 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,148039.326
FR,16-03-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,111875.688
FR,23-03-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,112712.9742
FR,30-03-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,119874.4434
FR,2020-06-04 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,123793.6554
FR,13-04-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,103164.3486
FR,20-04-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,107600.184
FR,27-04-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,103680.972
FR,2020-04-05 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,131204.529
FR,2020-11-05 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,138187.8522
FR,18-05-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,146026.2762
FR,25-05-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,159583.1868
FR,2020-01-06 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,133912.3482
FR,2020-08-06 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,126626.1768
FR,15-06-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,127320.9462
FR,22-06-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,123259.2174
FR,29-06-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,130385.0574
